FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$coverage.gis.IsQoomMajorIncident	Certain incident sont signalés dans Qoom avant de pouvoir être rapportés dasn GIS.	Je vérifie qu'il n'y a pas, dans notre système d'information Qoom, un alerte exceptionnelle.					
$coverage.gis.IsGisFailure	Activer le calques des <Q>outage<Q>.	Je regarde dans notre système GIS si un incident est signalé là oû vous êtes.					
$coverage.gis._TechnicianAreOnIt	être très compréhensif et humble avec le client car certaines problématiques de non possibilité de communiquer peuvent être très délicate selon la situation. 	Nos techniciens se démènent pour réparrer la panne !					
$coverage.gis._RegionCoverage	Sans tenir compte des <Q>outage<Q> (fait à l'étape suivante)	Je regarde si vous avez normalement une couverture suffisante 					
$coverage.gis._CheckNetWork	Analyser la couverture dans GIS. <N>Saisis ici l'adresse telle qu'elle apparaît au dessus du marqueur dans GIS.	Où vous trouvez vous exactement ?<N>Je regarde la couverture réseau à cette adresse.					https://network.salt.ch/maps/
$coverage._TempFailureFromPArtner		Il semble que ce soit un incident temporaire,<N>notre partenaire est entrain de réparer et tout devrait revenir rapidement à la normale très vite. 					
$coverage._OurPartnerHasNoCoverageHere		Il semble que notre partenaire telecom où vous vous trouvez n'a pas de couverture réseau là où vous trouvez.					
$coverage.HasItWorkedBefore		Est-ce que vous pouviez téléphoner, là où vous vous trouvez, avant ?<N>Ou bien ça n'a jamais fonctionné depuis que vous êtees arrivés ?		ça fonctionnait avant	Jamais		
$coverage._CouldBeNetwork		Il semble qu'il y ait un incident réseau encore inconnu de nos services.<N>Si c'est le cas je le transmettrai aux services techniques.<N>En attendant je vais annalyser s'il ya d'autres configuration de votre profil qui pourraient créér un souci.     					
$coverage.AreOtherUsersAffected	Il s'agit ici de determiner si c'est un problèeme spécifique au client appelant ou bien si'il s'agit d'un incident technique lié au réseau. 	Y a-t-il d'autres utilisateurs affectés ?			Ne sais pas		
$coverage._SelectManuallyAnotherProvider		Essayer de changer d'opérateur manuellement		Changé	pas pu changer		https://fiber.salt.ch/options-services/upgrade-repair/device-help
$coverage._ChangeTechno		Essayer de changer de technologie de réseau (4g -> 3g)					https://fiber.salt.ch/options-services/upgrade-repair/device-help
$coverage.InsideOrOutside		êtes -vous dehors ou à l'intérieur d'un bâtiement ?		Dedans	Dehors		
$coverage.HowIsCoverage	<T>- <b>Bonne<b> : 3 barres ou plus<N><T>- <b>Mauvaise<b> : moins de trois barres<N><T>- <b>Nulle<b> : Pas de barres et pas de fournisseur ("appel d'urgence uniquement") 	Comment est la couverture ?		Bonne	Mauvaise	Nulle	https://qoom.salt.ch/productservices/telephony/mobile_internet-networks_technologies_and_units_of_measurement
$flow.TutoTree			ui/tutoKeyboardFR				
