FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$ticket._FiveOneOne		Gneration de ticket S.O 5.1.1					
$ticket._ThreeTwoTwo		Gneration de ticket S.O 3.2.2					
$ticket._ThreeOneTwo		Gneration de ticket S.O 3.1.2					
$capture.IsTicketOpened	MSISDN au format SuperOffice<N><T>Commence par 0<N><T>10 chiffres  <N><T>Expl: 0781231234 ou 078 123 1234	Je regarde si un ticket technique 3.1.2 ou 3.2.2 est déjà ouvert.		Ticket tech en cours	Pas de ticket tech		
$SuggestWifiCalling	Ouvre le lien vers la page WiFi callin et n'hésite pas à lui envoyer le lien	Je vous enjoint à essayer le WiFI calling si votre apperail le permet.					https://qoom.salt.ch/productservices/telephony/wifi-calling-wifi_terminal_as_a_salt_antenna|https://fiber.salt.ch/options-services/abroad/wifi-calling
$_AddMemoInMarilyn	Dans Marylin	Je saisi un compte rendu dans notre CRM.					
$End	Faire le rapport de l'appel dans un wrap-up comme il se doit.	Votre cas est en cours de traitement et qu'il se peut que vous soyez contacté.					https://qoom.salt.ch/knowledge/handling/voice/wrap-up_for_customer_contacts
$Intro		Vous avez des soucis de connectivité avec votre téléphone mobile<N>Je suis sûr que nous allons trouver une solution !		Appels impossibles	Mauvaise qualité	Appels coupés		
$capture.WhereAreU		Où vous trouvez vous ?		En suisse	à l'étranger		
$capture.DeviceRestart	<N>On commence par faire redémarrer car cela résoud beaucoup de cas et qu'on veut être sur que le téléphone synchronise correctement les réglages réseau.<N>Voir avec le client son modèle d'appareil.<N>Aller sur device help (lien ci-dessous) pour l'accompagner	Veuillez redémarrer votre appareil !		Redémarré	pas redémarré		https://salt-csr-en.qelp.com/
$flow.TutoTree			ui/tutoKeyboardFR				
